max,min,wind,rain,humidi,cloud,pressure,date,temp
32,20,12,0.0,66,5,1014,2009-01-09,26.261539030917348
33,24,5,0.0,64,35,1011,2010-01-09,35.39835921350013
32,23,4,0.0,72,26,1009,2011-01-09,32.86000000000001
32,22,8,0.4,67,49,1012,2012-01-09,36.362943725152284
33,24,5,4.3,78,40,1009,2013-01-09,35.99335921350012
31,23,7,0.1,68,36,1011,2014-01-09,33.91754921336125
34,24,6,0.0,66,28,1012,2015-01-09,34.43030615433009
34,25,15,0.0,63,29,1013,2016-01-09,34.23620999227555
34,24,10,0.0,68,9,1008,2017-01-09,30.162633403898973
33,26,9,0.1,72,25,1011,2018-01-09,34.085
34,25,10,0.0,64,22,1013,2019-01-09,33.28263340389898
36,26,8,0.0,57,23,1010,2020-01-09,34.98294372515228
33,23,7,0.0,60,11,1010,2021-01-09,29.752549213361245
31,20,6,0.0,67,12,1015,2009-01-16,27.810306154330092
33,22,7,0.0,55,24,1015,2010-01-16,31.852549213361247
31,22,4,0.3,71,37,1011,2011-01-16,34.035000000000004
33,24,10,4.3,75,43,1007,2012-01-16,35.93763340389897
33,23,6,0.0,67,8,1013,2013-01-16,29.470306154330096
32,20,4,0.0,63,5,1015,2014-01-16,27.1
34,22,7,0.0,61,1,1014,2015-01-16,27.852549213361243
34,25,12,1.6,69,22,1010,2016-01-16,32.90153903091734
30,24,14,4.3,80,59,1010,2017-01-16,37.45000556793563
31,25,5,1.1,69,47,1010,2018-01-16,37.21335921350013
34,26,8,0.0,59,39,1011,2019-01-16,37.24294372515229
35,24,10,0.0,61,13,1011,2020-01-16,31.382633403898975
33,23,9,0.0,67,8,1010,2021-01-16,29.080000000000002
28,22,9,1.8,83,62,1011,2009-01-02,36.949999999999996
32,24,7,0.0,61,48,1010,2010-01-02,37.17254921336124
33,23,3,0.1,74,12,1009,2011-01-02,30.745769515458676
31,24,7,1.3,78,26,1012,2012-01-02,32.45754921336124
34,24,3,0.3,68,23,1010,2013-01-02,33.81576951545867
31,23,6,0.0,75,47,1012,2014-01-02,36.410306154330094
29,21,5,0.5,73,43,1013,2015-01-02,33.643359213500126
34,24,8,0.4,62,27,1014,2016-01-02,33.902943725152284
32,24,9,4.8,72,24,1011,2017-01-02,31.68
33,23,7,0.0,62,7,1009,2018-01-02,28.972549213361244
26,23,15,21.2,80,75,1012,2019-01-02,35.57620999227555
35,24,8,0.0,56,11,1014,2020-01-02,31.142943725152286
29,23,7,0.0,67,45,1011,2021-01-02,34.71254921336125
29,21,10,0.0,63,23,1017,2009-01-13,29.042633403898975
33,23,7,0.0,62,28,1015,2010-01-13,33.29254921336124
32,22,3,1.4,76,26,1009,2011-01-13,32.39076951545867
32,24,7,2.6,75,43,1010,2012-01-13,36.062549213361244
33,23,6,0.1,73,12,1011,2013-01-13,30.335306154330098
33,23,5,0.4,71,38,1012,2014-01-13,35.598359213500125
32,24,5,3.2,72,24,1012,2015-01-13,32.39835921350013
34,25,14,0.0,61,22,1011,2016-01-13,32.83500556793563
33,25,6,0.1,71,37,1008,2017-01-13,36.2353061543301
32,22,7,0.0,56,12,1012,2018-01-13,28.91254921336125
34,25,7,8.0,64,27,1011,2019-01-13,33.35254921336124
35,24,8,0.0,58,10,1010,2020-01-13,30.902943725152287
30,21,8,0.0,60,10,1011,2021-01-13,26.962943725152286
36,22,6,0.0,66,4,1012,2009-01-19,29.630306154330096
24,22,12,23.2,84,75,1011,2010-01-19,34.081539030917355
33,21,5,0.0,64,17,1009,2011-01-19,30.25835921350013
32,24,12,4.8,77,27,1009,2012-01-19,32.06153903091735
33,22,6,0.0,64,12,1013,2013-01-19,29.710306154330098
31,19,10,0.0,58,10,1016,2014-01-19,26.322633403898973
31,22,6,0.0,60,7,1014,2015-01-19,27.650306154330092
34,26,18,0.7,68,21,1011,2016-01-19,32.86941558772843
33,25,6,1.2,65,38,1012,2017-01-19,36.230306154330094
31,25,5,4.2,69,56,1009,2018-01-19,38.528359213500124
35,24,6,0.0,56,13,1011,2019-01-19,31.710306154330098
34,24,10,0.0,60,20,1012,2020-01-19,32.28263340389897
31,20,8,0.0,55,26,1011,2021-01-19,30.062943725152287
36,22,6,0.0,67,2,1011,2009-01-20,29.230306154330094
25,22,12,8.1,93,88,1011,2010-01-20,39.62653903091735
34,23,6,0.0,67,37,1009,2011-01-20,35.690306154330095
33,24,11,0.3,74,19,1009,2012-01-20,31.665025125786762
34,23,6,0.0,65,36,1013,2013-01-20,35.5303061543301
30,18,7,0.0,62,21,1015,2014-01-20,27.892549213361242
32,22,7,0.0,58,5,1015,2015-01-20,27.612549213361245
35,26,15,0.0,63,6,1012,2016-01-20,30.61620999227555
32,25,7,6.0,69,52,1012,2017-01-20,37.772549213361245
34,24,7,0.1,65,27,1009,2018-01-20,34.01754921336125
35,25,8,0.0,58,19,1011,2019-01-20,33.222943725152284
35,24,9,0.0,57,13,1013,2020-01-20,31.44
33,23,7,0.0,60,26,1011,2021-01-20,32.772549213361245
30,18,9,0.0,64,11,1017,2009-01-14,25.759999999999998
32,22,9,0.0,58,28,1016,2010-01-14,32.02
32,23,4,0.3,74,25,1010,2011-01-14,32.675
33,24,10,2.7,71,37,1008,2012-01-14,34.917633403898975
32,23,7,0.9,74,19,1012,2013-01-14,31.037549213361245
31,21,5,0.0,67,30,1013,2014-01-14,31.998359213500127
35,23,4,0.0,68,16,1013,2015-01-14,32.36
35,25,14,0.0,59,20,1011,2016-01-14,32.895005567935634
33,25,7,12.3,75,57,1009,2017-01-14,38.38754921336125
32,23,6,0.0,58,53,1012,2018-01-14,37.77030615433009
35,25,7,0.0,58,9,1010,2019-01-14,31.312549213361248
34,24,8,0.0,55,7,1010,2020-01-14,29.742943725152287
31,22,6,0.0,68,17,1011,2021-01-14,29.750306154330097
35,20,6,0.0,66,6,1014,2009-01-17,28.570306154330094
33,23,7,0.0,56,43,1015,2010-01-17,36.17254921336124
32,20,4,0.0,67,7,1012,2011-01-17,27.52
32,24,10,9.3,77,56,1007,2012-01-17,37.32763340389897
32,22,6,0.0,65,18,1013,2013-01-17,30.430306154330097
34,20,4,0.0,66,8,1014,2014-01-17,28.740000000000002
31,22,6,0.0,61,23,1013,2015-01-17,30.850306154330095
34,25,11,0.0,70,7,1010,2016-01-17,30.25002512578676
33,24,9,0.4,70,20,1011,2017-01-17,31.999999999999993
30,25,4,0.0,74,56,1009,2018-01-17,38.900000000000006
33,25,10,0.4,59,38,1011,2019-01-17,35.78263340389897
35,25,9,0.0,62,12,1012,2020-01-17,31.819999999999997
33,23,10,0.0,62,10,1011,2021-01-17,29.302633403898973
29,24,6,0.2,75,44,1010,2009-01-23,35.24030615433009
33,23,7,0.2,71,23,1013,2010-01-23,32.40254921336125
33,24,3,11.8,76,52,1011,2011-01-23,37.57076951545867
32,23,5,2.6,72,26,1010,2012-01-23,32.348359213500125
33,24,8,1.2,71,29,1012,2013-01-23,33.822943725152285
28,19,6,0.0,62,6,1015,2014-01-23,24.51030615433009
33,22,10,0.0,61,3,1014,2015-01-23,27.442633403898974
35,26,13,0.0,65,12,1013,2016-01-23,32.03666923472161
32,23,8,0.0,64,23,1013,2017-01-23,31.68294372515229
